Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2017,05,20,16.9,1,N
IDCJAC0010,009225,2017,05,21,18.2,1,N
IDCJAC0010,009225,2017,05,22,19.9,1,N
IDCJAC0010,009225,2017,05,23,17.9,1,N
IDCJAC0010,009225,2017,05,24,21.4,1,N
IDCJAC0010,009225,2017,05,25,22.4,1,N
IDCJAC0010,009225,2017,05,26,19.4,1,N
IDCJAC0010,009225,2017,05,27,18.8,1,N
IDCJAC0010,009225,2017,05,28,19.4,1,N
IDCJAC0010,009225,2017,05,29,21.6,1,N
IDCJAC0010,009225,2017,05,30,24.9,1,N
IDCJAC0010,009225,2017,05,31,25.8,1,N
IDCJAC0010,009225,2017,06,01,22.8,1,N
IDCJAC0010,009225,2017,06,02,24.2,1,N
IDCJAC0010,009225,2017,06,03,22.7,1,N
IDCJAC0010,009225,2017,06,04,22.2,1,N
IDCJAC0010,009225,2017,06,05,25.6,1,N
IDCJAC0010,009225,2017,06,06,25.4,1,N
IDCJAC0010,009225,2017,06,07,22.6,1,N
IDCJAC0010,009225,2017,06,08,22.5,1,N
IDCJAC0010,009225,2017,06,09,24.3,1,N
IDCJAC0010,009225,2017,06,10,21.0,1,N
IDCJAC0010,009225,2017,06,11,23.6,1,N
IDCJAC0010,009225,2017,06,12,24.2,1,N
IDCJAC0010,009225,2017,06,13,24.6,1,N
IDCJAC0010,009225,2017,06,14,20.9,1,N
IDCJAC0010,009225,2017,06,15,19.6,1,N
IDCJAC0010,009225,2017,06,16,21.2,1,N
IDCJAC0010,009225,2017,06,17,21.6,1,N
IDCJAC0010,009225,2017,06,18,23.4,1,N
IDCJAC0010,009225,2017,06,19,23.0,1,N
IDCJAC0010,009225,2017,06,20,22.5,1,N
IDCJAC0010,009225,2017,06,21,19.9,1,N
IDCJAC0010,009225,2017,06,22,16.8,1,N
IDCJAC0010,009225,2017,06,23,18.9,1,N
IDCJAC0010,009225,2017,06,24,18.2,1,N
IDCJAC0010,009225,2017,06,25,17.0,1,N
IDCJAC0010,009225,2017,06,26,17.8,1,N
IDCJAC0010,009225,2017,06,27,18.5,1,N
IDCJAC0010,009225,2017,06,28,18.7,1,N
IDCJAC0010,009225,2017,06,29,18.7,1,N
IDCJAC0010,009225,2017,06,30,19.8,1,N
